date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,dateChecked,death,hospitalized,totalTestResults,lastModified,recovered,total,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
2021-03-07,56,28756489.0,74582825.0,11808.0,40199.0,776361.0,8134.0,45475.0,2802.0,4281.0,2021-03-07T24:00:00Z,515151.0,776361.0,363825123,2021-03-07T24:00:00Z,,0,0,842,726,131835,41835,1170059,a80d0063822e251249fd9a44730c49cb23defd83
2021-03-06,56,28714654.0,74450990.0,11783.0,41401.0,775635.0,8409.0,45453.0,2811.0,4280.0,2021-03-06T24:00:00Z,514309.0,775635.0,362655064,2021-03-06T24:00:00Z,,0,0,1680,503,143835,60015,1430992,dae5e558c24adb86686bbd58c08cce5f610b8bb0
2021-03-05,56,28654639.0,74307155.0,12213.0,42541.0,775132.0,8634.0,45373.0,2889.0,4275.0,2021-03-05T24:00:00Z,512629.0,775132.0,361224072,2021-03-05T24:00:00Z,,0,0,2221,2781,271917,68787,1744417,724844c01659d0103801c57c0f72bf8cc8ab025c
2021-03-04,56,28585852.0,74035238.0,12405.0,44172.0,772351.0,8970.0,45293.0,2973.0,4267.0,2021-03-04T24:00:00Z,510408.0,772351.0,359479655,2021-03-04T24:00:00Z,,0,0,1743,1530,177957,65487,1590984,5c549ad30f9abf48dc5de36d20fa707014be1ff3
2021-03-03,56,28520365.0,73857281.0,11778.0,45462.0,770821.0,9359.0,45214.0,3094.0,4260.0,2021-03-03T24:00:00Z,508665.0,770821.0,357888671,2021-03-03T24:00:00Z,,0,0,2449,2172,267001,66836,1406795,fef6c425d2b773a9221fe353f13852f3e4a4bfb0
2021-03-02,56,28453529.0,73590280.0,11196.0,46388.0,768649.0,9465.0,45084.0,3169.0,4257.0,2021-03-02T24:00:00Z,506216.0,768649.0,356481876,2021-03-02T24:00:00Z,,0,0,1728,1871,255779,54248,1343519,f90cfd6129805f923153eb8da22a86b75eedf8fd
2021-03-01,56,28399281.0,73334501.0,11748.0,46738.0,766778.0,9595.0,44956.0,3171.0,4252.0,2021-03-01T24:00:00Z,504488.0,766778.0,355138357,2021-03-01T24:00:00Z,,0,0,1241,1024,118077,48092,1154440,fe110199c554cbfbc73cba70a79f621483b58633
2021-02-28,56,28351189.0,73216424.0,11708.0,47352.0,765754.0,9802.0,44907.0,3245.0,4252.0,2021-02-28T24:00:00Z,503247.0,765754.0,353983917,2021-02-28T24:00:00Z,,0,0,1051,879,203599,54349,1408422,e6707b320942dd3747d8bf8f6d9eb3df51d3eb9b
2021-02-27,56,28296840.0,73012825.0,11731.0,48871.0,764875.0,10114.0,44875.0,3335.0,4252.0,2021-02-27T24:00:00Z,502196.0,764875.0,352575495,2021-02-27T24:00:00Z,,0,0,1847,1428,205090,71245,1655179,d147391f796f2e12e030e88d732e1fcc3332ba0f
2021-02-26,56,28225595.0,72807735.0,11945.0,51112.0,763447.0,10466.0,44791.0,3466.0,4247.0,2021-02-26T24:00:00Z,500349.0,763447.0,350920316,2021-02-26T24:00:00Z,,0,0,2141,1868,276829,74857,1803309,a8e3b540b405af9291478478833507c9150982c9
2021-02-25,56,28150738.0,72530906.0,11813.0,52669.0,761579.0,10846.0,44636.0,3567.0,4240.0,2021-02-25T24:00:00Z,498208.0,761579.0,349117007,2021-02-25T24:00:00Z,,0,0,3138,2047,272209,75565,1826144,96567c9224d9e2421005b20d7661d5f698e84ee2
2021-02-24,56,28075173.0,72258697.0,12548.0,54118.0,759532.0,11026.0,44534.0,3685.0,4227.0,2021-02-24T24:00:00Z,495070.0,759532.0,347290863,2021-02-24T24:00:00Z,,0,0,2447,2172,245318,73258,1450666,cb5e30469bb5fa9c8cc57419f854444b7085752d
2021-02-23,56,28001915.0,72013379.0,11200.0,55058.0,757360.0,11272.0,44420.0,3755.0,4214.0,2021-02-23T24:00:00Z,492623.0,757360.0,345840197,2021-02-23T24:00:00Z,,0,0,2241,2164,225267,69105,1193835,b160cc76a55eb46ad84fee0ed21f3f11ff575c07
2021-02-22,56,27932810.0,71788112.0,9499.0,55403.0,755196.0,11536.0,44266.0,3804.0,4200.0,2021-02-22T24:00:00Z,490382.0,755196.0,344646362,2021-02-22T24:00:00Z,,0,0,1235,1305,123611,52530,1201247,953907208abbebaa0ed863696371a8aaee01875b
2021-02-21,56,27880280.0,71664501.0,9442.0,56159.0,753891.0,11862.0,44216.0,3915.0,4197.0,2021-02-21T24:00:00Z,489147.0,753891.0,343445115,2021-02-21T24:00:00Z,,0,0,1287,997,156778,58702,1232995,9ef669705290054fca87e09e2400ccfca723e1dd
2021-02-20,56,27821578.0,71507723.0,9408.0,58222.0,752894.0,12120.0,44166.0,3932.0,4197.0,2021-02-20T24:00:00Z,487860.0,752894.0,342212120,2021-02-20T24:00:00Z,,0,0,2160,1732,141790,72354,1290481,1c88106df899e0794d806f9a076c32871a56b409
2021-02-19,56,27749224.0,71365933.0,8711.0,59882.0,751162.0,12491.0,44085.0,4118.0,4187.0,2021-02-19T24:00:00Z,485700.0,751162.0,340921639,2021-02-19T24:00:00Z,,0,0,2477,2674,224755,74676,1878033,133fb9fd79fdb907e5b91163c12dcb94ebcfc8a7
2021-02-18,56,27674548.0,71141178.0,8679.0,62224.0,748488.0,13036.0,43964.0,4180.0,4178.0,2021-02-18T24:00:00Z,483223.0,748488.0,339043606,2021-02-18T24:00:00Z,,0,0,2616,2497,218491,66824,1345849,fce5878af42d4b34c917ce33fba9cfebd0bed50c
2021-02-17,56,27607724.0,70922687.0,8548.0,63329.0,745991.0,13094.0,43823.0,4271.0,4154.0,2021-02-17T24:00:00Z,480607.0,745991.0,337697757,2021-02-17T24:00:00Z,,0,0,2348,2857,233666,66839,1298421,ae44ef14d0a2bbb22891fe7a4727376ae8a4eefe
2021-02-16,56,27540885.0,70689021.0,11547.0,64457.0,743134.0,13607.0,43673.0,4415.0,4149.0,2021-02-16T24:00:00Z,478259.0,743134.0,336399336,2021-02-16T24:00:00Z,,0,0,1353,2094,101102,56312,1053698,e17f7931c95de689a278bb61419d0c7a5cae9c0f
2021-02-15,56,27484573.0,70587919.0,11494.0,65379.0,741040.0,13790.0,43553.0,4468.0,4143.0,2021-02-15T24:00:00Z,476906.0,741040.0,335345638,2021-02-15T24:00:00Z,,0,0,1078,1130,143388,55077,1123560,f0b6e80a16ee4be858b4600426c87f62a7e948db
2021-02-14,56,27429496.0,70444531.0,11515.0,66947.0,739910.0,14038.0,43516.0,4542.0,4141.0,2021-02-14T24:00:00Z,475828.0,739910.0,334222078,2021-02-14T24:00:00Z,,0,0,1366,1236,171877,72164,1439631,f51d712bfff4e331afc8dd2113672e407a3d99bf
2021-02-13,56,27357332.0,70272654.0,11529.0,69207.0,738674.0,14387.0,43463.0,4648.0,4140.0,2021-02-13T24:00:00Z,474462.0,738674.0,332782447,2021-02-13T24:00:00Z,,0,0,3467,1805,234293,90642,1757608,32fd3d66a3799801735c646c36783d327122f61a
2021-02-12,56,27266690.0,70038361.0,9434.0,71471.0,736869.0,14766.0,43389.0,4849.0,4126.0,2021-02-12T24:00:00Z,470995.0,736869.0,331024839,2021-02-12T24:00:00Z,,0,0,5427,2347,255983,101030,1812454,997a98bc6c2c22cbcae1bfa325eeac7b09349df7
2021-02-11,56,27165660.0,69782378.0,11981.0,74208.0,734522.0,15181.0,43291.0,4970.0,4113.0,2021-02-11T24:00:00Z,465568.0,734522.0,329212385,2021-02-11T24:00:00Z,,0,0,3873,2460,260124,102417,1855929,68c04ffef08f6cc8caf4bfea5b950e2288f738bd
2021-02-10,56,27063243.0,69522254.0,12079.0,76979.0,732062.0,15788.0,43184.0,5121.0,4106.0,2021-02-10T24:00:00Z,461695.0,732062.0,327356456,2021-02-10T24:00:00Z,,0,0,3445,3226,155861,95194,1382709,a5e18e2c47c764313e7accec45a3af3ea1f746c0
2021-02-09,56,26968049.0,69366393.0,10516.0,79179.0,728836.0,16129.0,43000.0,5216.0,4092.0,2021-02-09T24:00:00Z,458250.0,728836.0,325973747,2021-02-09T24:00:00Z,,0,0,2795,3144,337168,92986,1488481,d6ab30f5a318ca939a2fdf9393fc0f335bfc1fc8
2021-02-08,56,26875063.0,69029225.0,12114.0,80055.0,725692.0,16174.0,42833.0,5260.0,4080.0,2021-02-08T24:00:00Z,455455.0,725692.0,324485266,2021-02-08T24:00:00Z,,0,0,1309,1638,142156,77737,1400009,ddfbccf1e6b54cf690c54a52233ff34afc750ee2
2021-02-07,56,26797326.0,68887069.0,12061.0,81439.0,724054.0,16616.0,42779.0,5342.0,4079.0,2021-02-07T24:00:00Z,454146.0,724054.0,323085257,2021-02-07T24:00:00Z,,0,0,1475,1543,208303,95994,1498808,a2747a21d0be7bc1325eb930f49c12bd9d063f0b
2021-02-06,56,26701332.0,68678766.0,12070.0,84233.0,722511.0,17093.0,42730.0,5475.0,4078.0,2021-02-06T24:00:00Z,452671.0,722511.0,321586449,2021-02-06T24:00:00Z,,0,0,2994,2443,282477,114557,1888854,f6fc0e18265107559ccba343740f3ef06d828737
2021-02-05,56,26586775.0,68396289.0,11546.0,86373.0,720068.0,17284.0,42626.0,5596.0,4060.0,2021-02-05T24:00:00Z,449677.0,720068.0,319697595,2021-02-05T24:00:00Z,,0,0,3543,2940,270754,131146,1868496,e32393a09912d605685ff512547116d62a867235
2021-02-04,56,26455629.0,68125535.0,11914.0,88668.0,717128.0,17918.0,42472.0,5732.0,4059.0,2021-02-04T24:00:00Z,446134.0,717128.0,317829099,2021-02-04T24:00:00Z,,0,0,5212,3402,217496,123907,1663995,5618b9bae5c5ac569889ac886ee0655b94908618
2021-02-03,56,26331722.0,67908039.0,12077.0,91440.0,713726.0,18147.0,42323.0,5920.0,4044.0,2021-02-03T24:00:00Z,440922.0,713726.0,316165104,2021-02-03T24:00:00Z,,0,0,3685,3975,224499,116960,1384881,d1fb1ca4d5de63f3698cdacf1fc9bb7a3f9e2f65
2021-02-02,56,26214762.0,67683540.0,10590.0,92880.0,709751.0,18388.0,42148.0,6047.0,4035.0,2021-02-02T24:00:00Z,437237.0,709751.0,314780223,2021-02-02T24:00:00Z,,0,0,3486,3285,167082,117616,1385595,4a7ce3300dcac3facf61fc45c90dbccd0b062ed0
2021-02-01,56,26097146.0,67516458.0,11957.0,93536.0,706466.0,18572.0,41998.0,6086.0,4025.0,2021-02-01T24:00:00Z,433751.0,706466.0,313394628,2021-02-01T24:00:00Z,,0,0,1562,1766,344975,120200,1507545,1a664c2c2bd6239c309e1bf86249356944a10f45
2021-01-31,56,25976946.0,67171483.0,12007.0,95013.0,704700.0,18968.0,41934.0,6291.0,4019.0,2021-01-31T24:00:00Z,432189.0,704700.0,311887083,2021-01-31T24:00:00Z,,0,0,2059,2171,224593,119367,1725724,e4f76197700457237870b32c7da34314b97167f9
2021-01-30,56,25857579.0,66946890.0,11986.0,97561.0,702529.0,19130.0,41872.0,6329.0,4016.0,2021-01-30T24:00:00Z,430130.0,702529.0,310161359,2021-01-30T24:00:00Z,,0,0,2982,3147,232299,148824,2139579,7d92d3a85772369d403427a69e613db17892c4e0
2021-01-29,56,25708755.0,66714591.0,12400.0,101003.0,699382.0,19609.0,41758.0,6483.0,4011.0,2021-01-29T24:00:00Z,427148.0,699382.0,308021780,2021-01-29T24:00:00Z,,0,0,3503,2835,284168,167111,1955101,ab8a093eb80eaae01f1f86776a15028812b40e50
2021-01-28,56,25541644.0,66430423.0,12095.0,104303.0,696547.0,20113.0,41588.0,6642.0,4000.0,2021-01-28T24:00:00Z,423645.0,696547.0,306066679,2021-01-28T24:00:00Z,,0,0,4011,3500,269667,157306,1936761,8692445009bb33dee1d85bc95e95bfb8758d9979
2021-01-27,56,25384338.0,66160756.0,11972.0,107444.0,693047.0,20497.0,41402.0,6806.0,3985.0,2021-01-27T24:00:00Z,419634.0,693047.0,304129918,2021-01-27T24:00:00Z,,0,0,4077,4134,244553,153985,1626393,5f21e4490e738297c35e1a4a132c07f890e1dfc1
2021-01-26,56,25230353.0,65916203.0,9879.0,108960.0,688913.0,20573.0,41205.0,6832.0,3976.0,2021-01-26T24:00:00Z,415557.0,688913.0,302503525,2021-01-26T24:00:00Z,,0,0,3734,3705,377450,146448,1733799,a62a2e827836c0c936484465ac931304c5334111
2021-01-25,56,25083905.0,65538753.0,10963.0,109938.0,685208.0,20875.0,41028.0,6857.0,3949.0,2021-01-25T24:00:00Z,411823.0,685208.0,300769726,2021-01-25T24:00:00Z,,0,0,1593,2515,217006,133454,1630391,e0c576faf112999072321cd7dc6265864792ee4b
2021-01-24,56,24950451.0,65321747.0,10892.0,110628.0,682693.0,21168.0,40931.0,6989.0,3943.0,2021-01-24T24:00:00Z,410230.0,682693.0,299139335,2021-01-24T24:00:00Z,,0,0,1944,1909,223447,144234,1792892,bf79335a1227f60427950055b55519be2388b3a1
2021-01-23,56,24806217.0,65098300.0,10864.0,113609.0,680784.0,21657.0,40853.0,7110.0,3941.0,2021-01-23T24:00:00Z,408286.0,680784.0,297346443,2021-01-23T24:00:00Z,,0,0,3591,6652,274547,177118,1990072,47dfa961be79d64fc93c624aa8c30a8878559c1b
2021-01-22,56,24629099.0,64823753.0,11247.0,116264.0,674132.0,22008.0,40687.0,7236.0,3919.0,2021-01-22T24:00:00Z,404695.0,674132.0,295356371,2021-01-22T24:00:00Z,,0,0,3980,4325,284392,190915,2022028,06962832ce32532fd5ccd76cf9eba51fd11b14bd
2021-01-21,56,24438184.0,64539361.0,10907.0,119949.0,669807.0,22309.0,40481.0,7370.0,3910.0,2021-01-21T24:00:00Z,400715.0,669807.0,293334343,2021-01-21T24:00:00Z,,0,0,3878,4053,267695,186275,1933682,21696545a9eca409a45f2f497e0fa38ebd1a25eb
2021-01-20,56,24251909.0,64271666.0,10529.0,122754.0,665754.0,22834.0,40340.0,7564.0,3897.0,2021-01-20T24:00:00Z,396837.0,665754.0,291400661,2021-01-20T24:00:00Z,,0,0,4409,5105,342450,189203,1851350,819039596a7dcf8d78153d40208f57851b7db32e
2021-01-19,56,24062706.0,63929216.0,11503.0,123910.0,660649.0,23054.0,40103.0,7688.0,3883.0,2021-01-19T24:00:00Z,392428.0,660649.0,289549311,2021-01-19T24:00:00Z,,0,0,2141,3206,329847,146626,1596863,11b510b66d6edce36bf0aed51c3e8296ce47c277
2021-01-18,56,23916080.0,63599369.0,11477.0,123848.0,657443.0,23226.0,39973.0,7772.0,3865.0,2021-01-18T24:00:00Z,390287.0,657443.0,287952448,2021-01-18T24:00:00Z,,0,0,1395,2839,192825,150792,1771268,d9e4af585fc4167d1e9628e25d97a7c6e4a40e99
2021-01-17,56,23765288.0,63406544.0,11404.0,124387.0,654604.0,23432.0,39864.0,7797.0,3860.0,2021-01-17T24:00:00Z,388892.0,654604.0,286181180,2021-01-17T24:00:00Z,,0,0,2053,2167,277842,187218,1916756,1aef54cdc324f99322ee4f9bc4a5fdee7543bdc8
2021-01-16,56,23578070.0,63128702.0,11334.0,126139.0,652437.0,23524.0,39797.0,7755.0,3858.0,2021-01-16T24:00:00Z,386839.0,652437.0,284264424,2021-01-16T24:00:00Z,,0,0,3709,4039,226342,218085,2116224,8bd15f2d04c47a37855909d9cbddfe1268db349f
2021-01-15,56,23359985.0,62902360.0,11948.0,127235.0,648398.0,23593.0,39626.0,7772.0,3845.0,2021-01-15T24:00:00Z,383130.0,648398.0,282148200,2021-01-15T24:00:00Z,,0,0,3679,4000,410997,246454,2309884,aebb983bfe704ed005f908899e42a3df7051bd76
2021-01-14,56,23113531.0,62491363.0,12138.0,128947.0,644398.0,23891.0,39418.0,7878.0,3829.0,2021-01-14T24:00:00Z,379451.0,644398.0,279838316,2021-01-14T24:00:00Z,,0,0,3915,3792,305894,225616,2048899,2750d68904863f78abbb73c734ac405cfceecf81
2021-01-13,56,22887915.0,62185469.0,10942.0,130391.0,640606.0,23857.0,39248.0,7902.0,3811.0,2021-01-13T24:00:00Z,375536.0,640606.0,277789417,2021-01-13T24:00:00Z,,0,0,4087,5312,237885,224491,1827396,6c0eec149b4b4748b89cd27ff01076f0e2119710
2021-01-12,56,22663424.0,61947584.0,9181.0,131326.0,635294.0,23881.0,39049.0,7879.0,3796.0,2021-01-12T24:00:00Z,371449.0,635294.0,275962021,2021-01-12T24:00:00Z,,0,0,4064,4657,443993,218020,1944234,bf3972ee2333e0ff7bcf5a540e6b1a0d1e441b24
2021-01-11,56,22445404.0,61503591.0,11039.0,129793.0,630637.0,23501.0,38823.0,7786.0,3773.0,2021-01-11T24:00:00Z,367385.0,630637.0,274017787,2021-01-11T24:00:00Z,,0,0,1733,3045,210610,195255,1695767,22c31c3ff9a1bd641b214b6d5205f3511257e78b
2021-01-10,56,22250149.0,61292981.0,10957.0,129223.0,627592.0,23640.0,38706.0,7878.0,3771.0,2021-01-10T24:00:00Z,365652.0,627592.0,272322020,2021-01-10T24:00:00Z,,0,0,2068,2413,270382,228732,2051661,7cccf18801ff31632d640e53a26af5f7e254c2d2
2021-01-09,56,22021417.0,61022599.0,10850.0,130781.0,625179.0,23718.0,38607.0,7791.0,3767.0,2021-01-09T24:00:00Z,363584.0,625179.0,270270359,2021-01-09T24:00:00Z,,0,0,3537,6683,290183,269368,2137700,49df0480c84e8cf8031e9daf58f6228759e6985f
2021-01-08,56,21752049.0,60732416.0,11633.0,131921.0,618496.0,23912.0,38432.0,7908.0,3756.0,2021-01-08T24:00:00Z,360047.0,618496.0,268132659,2021-01-08T24:00:00Z,,0,0,3780,4705,320284,295121,2146223,627026ea4e8920a0200db4738f162eb161b8b6d1
2021-01-07,56,21456928.0,60412132.0,11612.0,132370.0,613791.0,23821.0,38236.0,7900.0,3748.0,2021-01-07T24:00:00Z,356267.0,613791.0,265986436,2021-01-07T24:00:00Z,,0,0,4079,5312,246578,272043,1928262,91f84c1dd65e0cb375e7bd4560805e810a071942
2021-01-06,56,21184885.0,60165554.0,10062.0,132474.0,608479.0,23708.0,38064.0,7946.0,3739.0,2021-01-06T24:00:00Z,352188.0,608479.0,264058174,2021-01-06T24:00:00Z,,0,0,3902,6607,263088,250184,1650493,2d62aa82b972b446848804e4ae2fa5ea5338d430
2021-01-05,56,20934701.0,59902466.0,8008.0,131195.0,601872.0,23509.0,37841.0,7976.0,3718.0,2021-01-05T24:00:00Z,348286.0,601872.0,262407681,2021-01-05T24:00:00Z,,0,0,3484,4290,480256,219075,1721007,589a85913c25309b31dbd8635ff14059b3eb6473
2021-01-04,56,20715626.0,59422210.0,9463.0,128210.0,597582.0,23435.0,37586.0,7930.0,3692.0,2021-01-04T24:00:00Z,344802.0,597582.0,260686674,2021-01-04T24:00:00Z,,0,0,1547,3892,148614,179571,1512611,35eeaeb8a3db8e46a289a54bc7b08e3c14fc90c7
2021-01-03,56,20536055.0,59273596.0,9407.0,125562.0,593690.0,23243.0,37433.0,7939.0,3688.0,2021-01-03T24:00:00Z,343255.0,593690.0,259174063,2021-01-03T24:00:00Z,,0,0,1455,2226,215583,208457,1444257,a7e7dcfaf216b997aa301630cdb3ab1ad9b4382f
2021-01-02,56,20327598.0,59058013.0,9356.0,123614.0,591464.0,23133.0,37309.0,7910.0,3684.0,2021-01-02T24:00:00Z,341800.0,591464.0,257729806,2021-01-02T24:00:00Z,,0,0,2406,3051,221792,280318,1934350,1cae9503112548803a332efdf3e3caaeee904141
2021-01-01,56,20047280.0,58836221.0,11506.0,125047.0,588413.0,23255.0,37196.0,7990.0,3681.0,2021-01-01T24:00:00Z,339394.0,588413.0,255795456,2021-01-01T24:00:00Z,,0,0,2592,4550,192048,182906,1545537,9994a6eaa4e8fd91674c5ec8f74b237be23fd8ce
2020-12-31,56,19864374.0,58644173.0,14931.0,125423.0,583863.0,23097.0,37066.0,8004.0,3672.0,2020-12-31T24:00:00Z,336802.0,583863.0,254249919,2020-12-31T24:00:00Z,,0,0,3297,4348,262855,226246,1797220,febd6590bd09d2e0ff39e0772a8953caa4106224
2020-12-30,56,19638128.0,58381318.0,14200.0,125220.0,579515.0,23069.0,36855.0,7930.0,3653.0,2020-12-30T24:00:00Z,333505.0,579515.0,252452699,2020-12-30T24:00:00Z,,0,0,3900,5514,215107,229496,1583713,d55afa7354a34a5d7351cd334c201b1329c5d753
2020-12-29,56,19408632.0,58166211.0,9939.0,124686.0,574001.0,22838.0,36583.0,7885.0,3635.0,2020-12-29T24:00:00Z,329605.0,574001.0,250868986,2020-12-29T24:00:00Z,,0,0,3289,5261,201698,199679,1343514,f2b3d4a165d2bce2705b98a772bb8a1aeaa6edf3
2020-12-28,56,19208953.0,57964513.0,10365.0,121202.0,568740.0,22579.0,36308.0,7948.0,3612.0,2020-12-28T24:00:00Z,326316.0,568740.0,249525472,2020-12-28T24:00:00Z,,0,0,1490,3723,309721,164127,1332122,d081afdb641baa8c5081b052abaa2f981835b3cd
2020-12-27,56,19044826.0,57654792.0,10280.0,118720.0,565017.0,22447.0,36164.0,7878.0,3604.0,2020-12-27T24:00:00Z,324826.0,565017.0,248193350,2020-12-27T24:00:00Z,,0,0,1397,2302,204288,153540,1395240,b3d199ee2f4ed59fa488cb97b2d300a6366a4b63
2020-12-26,56,18891286.0,57450504.0,10229.0,117344.0,562715.0,22373.0,36038.0,7809.0,3593.0,2020-12-26T24:00:00Z,323429.0,562715.0,246798110,2020-12-26T24:00:00Z,,0,0,1426,2292,214555,190594,1974298,01109e24d18c9914d7209c6f42f6a6d3e793b019
2020-12-25,56,18700692.0,57235949.0,10214.0,118948.0,560423.0,22418.0,35945.0,7831.0,3592.0,2020-12-25T24:00:00Z,322003.0,560423.0,244823812,2020-12-25T24:00:00Z,,0,0,1553,2047,170690,126796,1568040,0f051125d8d087b7d16ff389091232fd325c3d12
2020-12-24,56,18573896.0,57065259.0,14410.0,120200.0,558376.0,22623.0,35899.0,7792.0,3587.0,2020-12-24T24:00:00Z,320450.0,558376.0,243255772,2020-12-24T24:00:00Z,,0,0,2958,4289,322117,206684,2031894,d0910e80c9a5375fafacdd471012847ce2f8724f
2020-12-23,56,18367212.0,56743142.0,13784.0,119463.0,554087.0,22489.0,35695.0,7819.0,3579.0,2020-12-23T24:00:00Z,317492.0,554087.0,241223878,2020-12-23T24:00:00Z,,0,0,3393,4795,304962,224526,1791481,7d7be5c7af716807b2a5cf6af6340d77c50a2f57
