DATE,FEDFUNDS,unrate,CORESTICKM159SFRBATL
1990-01-01,8.23,5.4,4.92058886
1990-02-01,8.24,5.3,4.935526464
1990-03-01,8.28,5.2,5.208700881
1990-04-01,8.26,5.4,5.294133558
1990-05-01,8.18,5.4,5.183754067
1990-06-01,8.29,5.2,5.388456883
1990-07-01,8.15,5.5,5.535071884
1990-08-01,8.13,5.7,5.855903558
1990-09-01,8.2,5.9,5.948660349
1990-10-01,8.11,5.9,5.817450968
1990-11-01,7.81,6.2,5.70341926
1990-12-01,7.31,6.3,5.672549361
1991-01-01,6.91,6.4,5.839029006
1991-02-01,6.25,6.6,5.883436919
1991-03-01,6.12,6.8,5.496431415
1991-04-01,5.91,6.7,5.302381155
1991-05-01,5.78,6.9,5.248477287
1991-06-01,5.9,6.9,4.959978472
1991-07-01,5.82,6.8,4.735708693
1991-08-01,5.66,6.9,4.413788018
1991-09-01,5.45,6.9,4.465741661
1991-10-01,5.21,7.0,4.310597235
1991-11-01,4.81,7.0,4.370003221
1991-12-01,4.43,7.3,4.366592403
1992-01-01,4.03,7.3,4.069913371
1992-02-01,4.06,7.4,3.878184354
1992-03-01,3.98,7.4,3.990512759
1992-04-01,3.73,7.4,4.077543119
1992-05-01,3.82,7.6,3.937860894
1992-06-01,3.76,7.8,3.875841001
1992-07-01,3.25,7.7,3.785344226
1992-08-01,3.3,7.6,3.644349796
1992-09-01,3.22,7.6,3.363566041
1992-10-01,3.1,7.3,3.654950596
1992-11-01,3.09,7.4,3.649402976
1992-12-01,2.92,7.4,3.497528562
1993-01-01,3.02,7.3,3.547354737
1993-02-01,3.03,7.1,3.580667722
1993-03-01,3.07,7.0,3.353160609
1993-04-01,2.96,7.1,3.422176699
1993-05-01,3.0,7.1,3.551431283
1993-06-01,3.04,7.0,3.583428873
1993-07-01,3.06,6.9,3.437046316
1993-08-01,3.03,6.8,3.522739086
1993-09-01,3.09,6.7,3.656038681
1993-10-01,2.99,6.8,3.433321443
1993-11-01,3.02,6.6,3.445125507
1993-12-01,2.96,6.5,3.557822725
1994-01-01,3.05,6.6,3.384372964
1994-02-01,3.25,6.6,3.424654259
1994-03-01,3.34,6.5,3.578833286
1994-04-01,3.56,6.4,3.364064138
1994-05-01,4.01,6.1,3.238103819
1994-06-01,4.25,6.1,3.207540833
1994-07-01,4.26,6.1,3.245680943
1994-08-01,4.47,6.0,3.318864731
1994-09-01,4.73,5.9,3.267212367
1994-10-01,4.76,5.8,3.178740091
1994-11-01,5.29,5.6,3.142092625
1994-12-01,5.45,5.5,2.915659975
1995-01-01,5.53,5.6,3.159681044
1995-02-01,5.92,5.4,3.139699974
1995-03-01,5.98,5.4,3.184482491
1995-04-01,6.05,5.8,3.322916117
1995-05-01,6.01,5.6,3.367477772
1995-06-01,6.0,5.6,3.34707431
1995-07-01,5.85,5.7,3.402097044
1995-08-01,5.74,5.7,3.255560049
1995-09-01,5.8,5.6,3.368207809
1995-10-01,5.76,5.5,3.479287466
1995-11-01,5.8,5.6,3.394879542
1995-12-01,5.6,5.6,3.397750888
1996-01-01,5.56,5.6,3.294296705
1996-02-01,5.22,5.5,3.278044833
1996-03-01,5.31,5.5,3.15123296
1996-04-01,5.22,5.6,3.021419042
1996-05-01,5.24,5.6,3.065009249
1996-06-01,5.27,5.3,3.066510398
1996-07-01,5.4,5.5,3.103134864
1996-08-01,5.22,5.1,3.096243134
1996-09-01,5.3,5.2,3.076709572
1996-10-01,5.24,5.2,2.957328624
1996-11-01,5.31,5.4,2.99348831
1996-12-01,5.29,5.4,3.066760867
1997-01-01,5.25,5.3,2.924852958
1997-02-01,5.19,5.2,2.815492049
1997-03-01,5.39,5.2,2.868448161
1997-04-01,5.51,5.1,2.924881516
1997-05-01,5.5,4.9,2.883239208
1997-06-01,5.56,5.0,2.841507556
1997-07-01,5.52,4.9,2.764311367
1997-08-01,5.54,4.8,2.668660701
1997-09-01,5.54,4.9,2.558893145
1997-10-01,5.5,4.7,2.633884037
1997-11-01,5.52,4.6,2.564888202
1997-12-01,5.5,4.7,2.636585632
1998-01-01,5.56,4.6,2.686312997
1998-02-01,5.51,4.6,2.70235568
1998-03-01,5.49,4.7,2.682792941
1998-04-01,5.45,4.3,2.650550927
1998-05-01,5.49,4.4,2.621199946
1998-06-01,5.56,4.5,2.610692088
1998-07-01,5.54,4.5,2.613395599
1998-08-01,5.55,4.5,2.643666793
1998-09-01,5.51,4.6,2.603431515
1998-10-01,5.07,4.5,2.54435291
1998-11-01,4.83,4.4,2.531446927
1998-12-01,4.68,4.4,2.446189532
1999-01-01,4.63,4.3,2.3907588
1999-02-01,4.76,4.4,2.3238316
1999-03-01,4.81,4.2,2.2464619
1999-04-01,4.74,4.3,2.2358613
1999-05-01,4.74,4.2,2.1625267
1999-06-01,4.76,4.3,2.0812547
1999-07-01,4.99,4.3,2.1244533
1999-08-01,5.07,4.2,2.1074137
1999-09-01,5.22,4.2,2.0832919
1999-10-01,5.2,4.1,2.0639533
1999-11-01,5.42,4.1,2.1623251
1999-12-01,5.3,4.0,2.1818508
2000-01-01,5.45,4.0,2.350195
2000-02-01,5.73,4.1,2.3950909
2000-03-01,5.85,4.0,2.4989589
2000-04-01,6.02,3.8,2.4247194
2000-05-01,6.27,4.0,2.5736327
2000-06-01,6.53,4.0,2.7153642
2000-07-01,6.54,4.0,2.7240005
2000-08-01,6.5,4.1,2.8853852
2000-09-01,6.52,3.9,2.908796
2000-10-01,6.51,3.9,2.9310365
2000-11-01,6.51,3.9,2.8816134
2000-12-01,6.4,3.9,2.9838403
2001-01-01,5.98,4.2,2.8896431
2001-02-01,5.49,4.2,2.9893325
2001-03-01,5.31,4.3,2.9711853
2001-04-01,4.8,4.4,3.1007641
2001-05-01,4.21,4.3,3.0843327
2001-06-01,3.97,4.5,3.2118098
2001-07-01,3.77,4.6,3.2190557
2001-08-01,3.65,4.9,3.2635089
2001-09-01,3.07,5.0,3.3990087
2001-10-01,2.49,5.3,3.4934371
2001-11-01,2.09,5.5,3.6122717
2001-12-01,1.82,5.7,3.5754587
2002-01-01,1.73,5.7,3.5684398
2002-02-01,1.74,5.7,3.5387817
2002-03-01,1.73,5.7,3.480145
2002-04-01,1.75,5.9,3.4775061
2002-05-01,1.75,5.8,3.4632677
2002-06-01,1.75,5.8,3.2512149
2002-07-01,1.73,5.8,3.2740984
2002-08-01,1.74,5.7,3.1567969
2002-09-01,1.75,5.7,3.0374651
2002-10-01,1.75,5.7,2.9477485
2002-11-01,1.34,5.9,2.8341831
2002-12-01,1.24,6.0,2.8018315
2003-01-01,1.24,5.8,2.7875531
2003-02-01,1.26,5.9,2.7046594
2003-03-01,1.25,5.9,2.6277872
2003-04-01,1.26,6.0,2.4593491
2003-05-01,1.26,6.1,2.3483407
2003-06-01,1.22,6.3,2.27155
2003-07-01,1.01,6.2,2.237208
2003-08-01,1.03,6.1,2.1655338
2003-09-01,1.01,6.1,2.1842475
2003-10-01,1.01,6.0,2.1611133
2003-11-01,1.0,5.8,2.0365931
2003-12-01,0.98,5.7,1.976213
2004-01-01,1.0,5.7,1.9607229
2004-02-01,1.01,5.6,2.0481367
2004-03-01,1.0,5.8,2.1370611
2004-04-01,1.0,5.6,2.2577613
2004-05-01,1.0,5.6,2.2378638
2004-06-01,1.03,5.6,2.3794884
2004-07-01,1.26,5.5,2.2638524
2004-08-01,1.43,5.4,2.2577292
2004-09-01,1.61,5.4,2.240201
2004-10-01,1.76,5.5,2.2372194
2004-11-01,1.93,5.4,2.3012131
2004-12-01,2.16,5.4,2.3138859
2005-01-01,2.28,5.3,2.3158903
2005-02-01,2.5,5.4,2.2862449
2005-03-01,2.63,5.2,2.2461526
2005-04-01,2.79,5.2,2.2397223
2005-05-01,3.0,5.1,2.3579552
2005-06-01,3.04,5.0,2.1993552
2005-07-01,3.26,5.0,2.3010794
2005-08-01,3.5,4.9,2.2644059
2005-09-01,3.62,5.0,2.3340762
2005-10-01,3.78,5.0,2.3253024
2005-11-01,4.0,5.0,2.4316658
2005-12-01,4.16,4.9,2.4690335
2006-01-01,4.29,4.7,2.4510191
2006-02-01,4.49,4.8,2.4992554
2006-03-01,4.59,4.7,2.581219
2006-04-01,4.79,4.7,2.6806926
2006-05-01,4.94,4.6,2.7839595
2006-06-01,4.99,4.6,3.0344298
2006-07-01,5.24,4.7,3.0939988
2006-08-01,5.25,4.7,3.2251144
2006-09-01,5.25,4.5,3.212012
2006-10-01,5.25,4.4,3.2911246
2006-11-01,5.25,4.5,3.1482614
2006-12-01,5.24,4.4,3.1241583
2007-01-01,5.25,4.6,3.1457342
2007-02-01,5.26,4.5,3.161558
2007-03-01,5.26,4.4,3.1090014
2007-04-01,5.25,4.5,2.9667028
2007-05-01,5.25,4.4,2.783324
2007-06-01,5.25,4.6,2.6305791
2007-07-01,5.26,4.7,2.5346411
2007-08-01,5.02,4.6,2.4685402
2007-09-01,4.94,4.7,2.4838823
2007-10-01,4.76,4.7,2.5033248
2007-11-01,4.49,4.7,2.6563697
2007-12-01,4.24,5.0,2.7127336
2008-01-01,3.94,5.0,2.7470404
2008-02-01,2.98,4.9,2.6165653
2008-03-01,2.61,5.1,2.6887664
2008-04-01,2.28,5.0,2.7251103
2008-05-01,1.98,5.4,2.7937419
2008-06-01,2.0,5.6,2.9376962
2008-07-01,2.01,5.8,3.0142542
2008-08-01,2.0,6.1,3.0845059
2008-09-01,1.81,6.1,3.0766785
2008-10-01,0.97,6.5,2.9291949
2008-11-01,0.39,6.8,2.7864624
2008-12-01,0.16,7.3,2.6304305
2009-01-01,0.15,7.8,2.5522481
2009-02-01,0.22,8.3,2.5594949
2009-03-01,0.18,8.7,2.4535819
2009-04-01,0.15,9.0,2.3761457
2009-05-01,0.18,9.4,2.2888288
2009-06-01,0.21,9.5,2.0898948
2009-07-01,0.16,9.5,1.9228669
2009-08-01,0.16,9.6,1.7701932
2009-09-01,0.15,9.8,1.6158958
2009-10-01,0.12,10.0,1.5209969
2009-11-01,0.12,9.9,1.3714917
2009-12-01,0.12,9.9,1.3248615
2010-01-01,0.11,9.8,1.1770019
2010-02-01,0.13,9.8,1.0548474
2010-03-01,0.16,9.9,0.93183853
2010-04-01,0.2,9.9,0.87602978
2010-05-01,0.2,9.6,0.7998678
2010-06-01,0.18,9.4,0.78483473
2010-07-01,0.18,9.4,0.74959322
2010-08-01,0.19,9.5,0.69562861
2010-09-01,0.19,9.5,0.6676136
2010-10-01,0.19,9.4,0.67526624
2010-11-01,0.19,9.8,0.82600201
2010-12-01,0.18,9.3,0.83710132
2011-01-01,0.17,9.1,0.96003713
2011-02-01,0.16,9.0,1.1238816
2011-03-01,0.14,9.0,1.1861014
2011-04-01,0.1,9.1,1.21555
2011-05-01,0.09,9.0,1.2613949
2011-06-01,0.09,9.1,1.2990532
2011-07-01,0.07,9.0,1.4236275
2011-08-01,0.1,9.0,1.6569751
2011-09-01,0.08,9.0,1.7268145
2011-10-01,0.07,8.8,1.8413647
2011-11-01,0.08,8.6,1.8407168
2011-12-01,0.07,8.5,2.0478499
2012-01-01,0.08,8.3,2.1159285
2012-02-01,0.1,8.3,2.0181912
2012-03-01,0.13,8.2,2.1247577
2012-04-01,0.14,8.2,2.1937928
2012-05-01,0.16,8.2,2.1896843
2012-06-01,0.16,8.2,2.2407468
2012-07-01,0.16,8.2,2.2616531
2012-08-01,0.13,8.1,2.1718632
2012-09-01,0.14,7.8,2.2199385
2012-10-01,0.16,7.8,2.2070705
2012-11-01,0.16,7.7,2.1959869
2012-12-01,0.16,7.9,2.1097305
2013-01-01,0.14,8.0,2.0682971
2013-02-01,0.15,7.7,2.146017
2013-03-01,0.14,7.5,2.0999025
2013-04-01,0.15,7.6,1.9354319
2013-05-01,0.11,7.5,1.907797
2013-06-01,0.09,7.5,1.8766189
2013-07-01,0.09,7.3,1.867879
2013-08-01,0.08,7.2,1.9142202
2013-09-01,0.08,7.2,1.8904211
2013-10-01,0.09,7.2,1.8687356
2013-11-01,0.08,6.9,1.8930866
2013-12-01,0.09,6.7,1.8711904
2014-01-01,0.07,6.6,1.8218145
2014-02-01,0.07,6.7,1.7891863
2014-03-01,0.08,6.7,1.8208567
2014-04-01,0.09,6.2,2.0251612
2014-05-01,0.09,6.3,2.1282345
2014-06-01,0.1,6.1,2.1433409
2014-07-01,0.09,6.2,2.1008094
2014-08-01,0.09,6.1,1.9625042
2014-09-01,0.09,5.9,1.954047
2014-10-01,0.09,5.7,2.0060187
2014-11-01,0.09,5.8,2.0043657
2014-12-01,0.12,5.6,1.9711259
2015-01-01,0.11,5.7,1.985653
2015-02-01,0.11,5.5,1.9819969
2015-03-01,0.11,5.4,1.9991371
2015-04-01,0.12,5.4,2.0631236
2015-05-01,0.12,5.6,2.0668869
2015-06-01,0.13,5.3,2.1147326
2015-07-01,0.13,5.2,2.1414477
2015-08-01,0.14,5.1,2.1802398
2015-09-01,0.14,5.0,2.279431
2015-10-01,0.12,5.0,2.3462109
2015-11-01,0.12,5.1,2.4052606
2015-12-01,0.24,5.0,2.4436874
2016-01-01,0.34,4.8,2.4667222
2016-02-01,0.38,4.9,2.5442092
2016-03-01,0.36,5.0,2.531878
2016-04-01,0.37,5.1,2.537996
2016-05-01,0.37,4.8,2.5711572
2016-06-01,0.38,4.9,2.5689022
2016-07-01,0.39,4.8,2.5758512
2016-08-01,0.4,4.9,2.7228064
2016-09-01,0.4,5.0,2.6321032
2016-10-01,0.4,4.9,2.5095184
2016-11-01,0.41,4.7,2.5258013
2016-12-01,0.54,4.7,2.594944
2017-01-01,0.65,4.7,2.661562
2017-02-01,0.66,4.6,2.67446
2017-03-01,0.79,4.4,2.453344
2017-04-01,0.9,4.4,2.25217
2017-05-01,0.91,4.4,2.155911
2017-06-01,1.04,4.3,2.13853
2017-07-01,1.15,4.3,2.146769
2017-08-01,1.16,4.4,2.089832
2017-09-01,1.15,4.3,2.106697
2017-10-01,1.15,4.2,2.192819
2017-11-01,1.16,4.2,2.115031
2017-12-01,1.3,4.1,2.125472
2018-01-01,1.41,4.0,2.166829
2018-02-01,1.42,4.1,2.129934
2018-03-01,1.51,4.0,2.359611
2018-04-01,1.69,4.0,2.492147
2018-05-01,1.7,3.8,2.544964
2018-06-01,1.82,4.0,2.558656
2018-07-01,1.91,3.8,2.531541
2018-08-01,1.91,3.8,2.430733
2018-09-01,1.95,3.7,2.475069
2018-10-01,2.19,3.8,2.419846
2018-11-01,2.2,3.8,2.472599
2018-12-01,2.27,3.9,2.448984
2019-01-01,2.4,4.0,2.378344
2019-02-01,2.4,3.8,2.373979
2019-03-01,2.41,3.8,2.393918
2019-04-01,2.42,3.6,2.410959
2019-05-01,2.39,3.6,2.39962
2019-06-01,2.38,3.6,2.431727
2019-07-01,2.4,3.7,2.467932
2019-08-01,2.13,3.7,2.633395
2019-09-01,2.04,3.5,2.616559
2019-10-01,1.83,3.6,2.7342
2019-11-01,1.55,3.6,2.760463
2019-12-01,1.55,3.6,2.724503
2020-01-01,1.55,3.5,2.788599
2020-02-01,1.58,3.5,2.812655
2020-03-01,0.65,4.4,2.641068
2020-04-01,0.05,14.7,2.233555
2020-05-01,0.05,13.2,2.085757
2020-06-01,0.08,11.0,2.064379
2020-07-01,0.09,10.2,2.350691
2020-08-01,0.1,8.4,2.297196
2020-09-01,0.09,7.9,2.088195
2020-10-01,0.09,6.9,1.848308
2020-11-01,0.09,6.7,1.786708
2020-12-01,0.09,6.7,1.694452
2021-01-01,0.09,6.4,1.504532
2021-02-01,0.08,6.2,1.520784
2021-03-01,0.07,6.0,1.694673
2021-04-01,0.07,6.0,2.284027
2021-05-01,0.06,5.8,2.623896
2021-06-01,0.08,5.9,2.604632
2021-07-01,0.1,5.4,2.325734
2021-08-01,0.09,5.2,2.353165
2021-09-01,0.08,4.7,2.649506
2021-10-01,0.08,4.6,3.04294
2021-11-01,0.08,4.2,3.205069
2021-12-01,0.08,3.9,3.467011
2022-01-01,0.08,4.0,3.982987642
2022-02-01,0.08,3.8,4.297857761
